date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2016-01-29,2016-01-29 23:50:00+00:00,378.6405195412,395678,3754,3784.8847125866,3757.0625778644,3500.3948889548
2016-01-30,2016-01-30 23:50:00+00:00,377.3488875787,395865,3753,3793.9789239038,3757.0625778644,3500.3948889548
2016-01-31,2016-01-31 23:50:00+00:00,367.9508595509,396047,3752,3803.1566748410,3757.0625778644,3500.3948889548
2016-02-01,2016-02-01 23:50:00+00:00,371.3705231941,396209,3751,3812.6461540205,3757.0625778644,3711.3755612943
2016-02-02,2016-02-02 23:50:00+00:00,372.9622692614,396387,3750,3822.0907145071,3757.0625778644,3711.3755612943
2016-02-03,2016-02-03 23:50:00+00:00,368.5349031979,396567,3749,3831.5422560650,3757.0625778644,3711.3755612943
2016-02-04,2016-02-04 23:50:00+00:00,388.0950286680,396736,3748,3841.1725384392,3757.0625778644,3711.3755612943
2016-02-05,2016-02-05 23:50:00+00:00,383.9341258581,396923,3747,3850.3153729189,3820.6631133856,3711.3755612943
2016-02-06,2016-02-06 23:50:00+00:00,375.2273870476,397121,3746,3859.6177970747,3820.6631133856,3711.3755612943
2016-02-07,2016-02-07 23:50:00+00:00,376.4286292237,397299,3745,3869.2118689998,3820.6631133856,3711.3755612943
2016-02-08,2016-02-08 23:50:00+00:00,371.2169424334,397448,3744,3878.8247442325,3820.6631133856,3711.3755612943
2016-02-09,2016-02-09 23:50:00+00:00,372.7623707801,397624,3743,3888.6413488835,3820.6631133856,3711.3755612943
2016-02-10,2016-02-10 23:50:00+00:00,378.9517342131,397788,3742,3898.4676939024,3820.6631133856,3711.3755612943
2016-02-11,2016-02-11 23:50:00+00:00,378.1483816211,397979,3741,3908.1702196276,3820.6631133856,3711.3755612943
2016-02-12,2016-02-12 23:50:00+00:00,382.3920970165,398150,3740,3917.9493979704,3885.6762928519,3711.3755612943
2016-02-13,2016-02-13 23:50:00+00:00,390.6503666299,398306,3739,3927.6618210936,3885.6762928519,3711.3755612943
2016-02-14,2016-02-14 23:50:00+00:00,406.5740594276,398470,3738,3937.1984798253,3885.6762928519,3711.3755612943
2016-02-15,2016-02-15 23:50:00+00:00,398.8081586422,398624,3737,3946.3688407823,3885.6762928519,3711.3755612943
